Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,PC_m
POL,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35582.9874,28915.3133,19765.5081,10656.1807,8605.1441,6843.0755,4662.6179,2350.3749,1053.5942,-506.2906,-1527.4586,-2451.3349,-3186.6789,-3918.2122,-4545.2595,-5076.2586,-4966.7896,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4780.2726,3108.0426,1624.8472,536.5819,575.1782,724.4138,925.1438,1117.8313,1109.8239,1032.187,898.5658,704.4079,567.3683,389.5399,242.0935,101.0672,77.3509,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.9607,106.1735,55.3712,24.5603,28.6566,42.0103,70.9976,104.1876,102.2491,102.2681,102.2915,98.2385,94.1922,81.1983,63.4168,37.0042,31.9613,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.671,27.7716,13.8175,5.7938,6.7139,9.9959,17.385,25.7592,25.3485,25.4689,25.6712,24.8847,24.0442,20.8279,16.2626,9.3043,7.967,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15419.0381,12952.7145,8499.7342,3788.6095,2362.8244,782.4586,-1342.6219,-3940.9702,-5211.1974,-6567.1499,-7286.3598,-7684.7676,-8020.4497,-8107.7939,-8068.5116,-7760.4411,-7536.9703,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3495,11.249,12.0384,12.7389,13.8181,14.9804,16.1845,17.4209,18.6126,19.8124,20.9503,21.9375,22.757,23.3156,23.7225,23.7919,23.7726,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.8252,3.1227,0.3239,0.026,0.0294,0.046,0.0791,0.1135,0.0966,0.0733,0.0495,0.0276,0.0169,0.0076,0.0027,0.0004,0.0002,2
POL,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8769,1.1818,0.3536,0.0937,0.0853,0.0906,0.0987,0.0967,0.0739,0.0537,0.0371,0.0235,0.0154,0.0087,0.0045,0.0018,0.0011,2
POL,TERL_15D_NoTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,40326.8225,31407.6251,20727.2468,9349.7229,6751.9642,4416.3612,2357.0416,-11.2104,-1600.5369,-2707.7592,-3528.267,-4290.794,-5058.9595,-5987.2329,-6944.3885,-7971.3917,-8122.0548,2
POL,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.0551,1259.5849,-137.2124,-2093.1718,-2604.8197,-3281.8045,-3297.122,-3605.7324,-4015.5677,-3664.2768,-3374.8777,-3218.0452,-3337.8749,-3562.9464,-3917.5402,-4453.9875,-4958.6769,2
POL,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36845.859,30117.0393,20843.9657,11426.6814,9339.6718,7679.5621,5633.7396,3572.4202,2392.8632,934.8417,-173.8974,-1092.0308,-1739.2852,-2440.8809,-3041.6283,-3529.223,-3174.3837,2
POL,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4689.6842,2963.1096,1465.6538,462.0286,485.3682,598.1348,741.0687,876.1408,831.371,721.0087,549.3103,396.1176,283.7981,168.543,82.7572,17.9046,9.5234,2
POL,TERL_15D_NoTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.7108,101.421,53.3452,23.6144,27.2789,40.2492,71.1246,97.9588,94.7542,92.0209,85.2841,75.6162,64.8785,48.1346,30.7841,11.1407,7.6861,2
POL,TERL_15D_NoTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.5221,26.2365,12.987,5.34,6.1421,9.3034,17.1919,23.9542,23.2329,22.6801,21.1763,18.8956,16.2572,12.0147,7.5436,2.511,1.6539,2
POL,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15377.2627,12461.9134,7991.4751,3335.839,1905.9804,376.4563,-1598.0304,-3934.3121,-5114.2278,-6317.7645,-6797.0131,-6983.1724,-6956.7606,-6708.5678,-6302.127,-5510.9955,-4912.0674,2
POL,TERL_15D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.329,11.2125,11.9985,12.6855,13.745,14.8907,16.0949,17.3404,18.5381,19.7116,20.7827,21.7182,22.5017,23.0368,23.3844,22.7166,22.004,2
POL,TERL_15D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.42,2.6045,0.2571,0.0198,0.021,0.0309,0.0499,0.0683,0.0531,0.0352,0.0183,0.0088,0.0042,0.0012,0.0002,0.0,0.0,2
POL,TERL_15D_NoTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7973,1.073,0.3173,0.0816,0.0723,0.075,0.0798,0.0766,0.0563,0.0385,0.0237,0.013999999999999,0.0083,0.0042,0.0019,0.0005,0.0003,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,38995.4282,29942.3948,22985.8237,20685.5269,17578.1407,13923.2774,10226.7431,6925.9911,4183.5589,1931.9389,65.7213,-1423.9117,-2548.9616,-3333.2714,-4127.0907,-4956.3871,-5890.1921,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3330.5652,1300.8681,21.7184,-251.9096,-1704.1445,-2777.8764,-3011.1274,-2779.6231,-2207.0057,-1956.14,-1903.3297,-1825.8283,-1831.9506,-1766.2821,-1836.1033,-2022.6751,-2315.5849,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35582.9874,28609.6349,22939.2975,20910.7075,19253.7636,16671.983,13208.7581,9677.14,6362.718,3860.0657,1940.9481,373.7167,-744.9067,-1593.9091,-2316.9402,-2958.1483,-3597.1076,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4780.2726,3062.9664,2179.1057,2144.0939,2242.5064,2175.0889,1979.1635,1717.3252,1496.5211,1435.6803,1370.0043,1293.1378,1163.1178,955.5891,783.3466,595.5784,417.1049,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.9607,103.7161,72.6431,77.8428,85.1701,91.1824,101.493,105.7239,100.1587,100.6389,103.6404,108.4537,111.4785,110.636,108.5806,101.975,89.1324,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.671,27.1043,18.3098,19.2063,20.6099,21.7838,24.3378,25.4431,24.2713,24.5258,25.4552,26.9239,27.9923,28.1566,27.8918,26.3505,23.0558,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15419.0381,12777.0582,9890.1986,8527.441,6933.2952,5100.3587,2915.5477,372.8546,-1938.0758,-3911.2988,-5411.1163,-6664.0009,-7464.8507,-7813.3893,-8084.7795,-8185.2929,-8191.4382,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3495,11.2435,12.1467,13.1735,14.2414,15.3147,16.4195,17.5731,18.7704,19.9869,21.1587,22.2181,23.1024,23.7434,24.2469,24.4423,24.3092,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.8252,2.8966,0.7257,0.6901,0.7207,0.6213,0.4617,0.2966,0.1912,0.1568,0.1289,0.109,0.083,0.0527,0.0332,0.0179,0.0079,2
POL,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8769,1.1375,0.5141,0.4359,0.3774,0.2967,0.2153,0.1446,0.0976,0.0731,0.055,0.0417,0.0301,0.02,0.0132,0.008,0.0045,2
POL,TERL_2D_NoTransportPolicy,P2,Emissions|CO2,Mt CO2/yr,40326.8225,31078.909,24086.481,21823.964,18671.2985,14946.5604,11069.1624,7631.6064,4797.1632,2456.0978,716.2522,-187.2364,-1022.7119,-1916.7907,-2791.1951,-3724.2313,-4821.5462,2
POL,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.0551,1248.3319,-59.5637,-488.4805,-1834.8769,-2817.6491,-3075.2821,-2889.2028,-2373.3691,-1961.1835,-2271.9987,-2107.373,-2145.9936,-2282.1849,-2452.4778,-2703.8409,-3063.3677,2
POL,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36845.859,29800.1782,24122.254,22286.868,20478.8704,17736.264,14116.3226,10493.2659,7143.607,4390.1866,2961.4723,1894.6342,1098.6854,341.9281,-360.8624,-1040.8967,-1776.814,2
POL,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4689.6842,2919.2258,2002.1421,1937.9736,2033.2488,1950.541,1778.4484,1527.3289,1333.126,1293.4067,1161.5693,910.7518,741.0981,580.5305,434.5004,306.2909,194.368,2
POL,TERL_2D_NoTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.7108,99.0234,68.9357,73.5709,81.0547,87.8408,99.5524,104.3735,99.1727,100.9895,103.6003,103.0646,101.797,95.8806,86.428,72.8178,56.1358,2
POL,TERL_2D_NoTransportPolicy,P2,Secondary Energy|Electricity|Coal,EJ/yr,39.5221,25.5764,17.0185,17.7709,19.1974,20.612,23.5153,24.7562,23.6596,24.1895,25.1157,25.3947,25.3834,24.1234,21.8426,18.3961,14.0712,2
POL,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15377.2627,12285.4282,9312.3899,7924.8664,6248.9859,4164.5154,1688.8232,-858.1101,-3085.5957,-5434.1645,-6521.1653,-6902.2406,-7185.2323,-7321.7327,-7320.524,-7145.8231,-6877.5652,2
POL,TERL_2D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,10.329,11.207,12.0983,13.1202,14.1863,15.2563,16.3673,17.5377,18.7275,19.9519,21.1318,22.1576,23.0318,23.6803,24.1715,24.3124,24.1565,2
POL,TERL_2D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.42,2.4167,0.5896,0.5377,0.5619,0.4797,0.3671,0.2337,0.1534,0.1311,0.0973,0.0555,0.0345,0.0196,0.0102,0.0044,0.0014,2
POL,TERL_2D_NoTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7973,1.0333,0.4631,0.3853,0.3341,0.262,0.193,0.1294,0.0877,0.0672,0.0482,0.0308,0.0203,0.0128,0.0077,0.0043,0.0022,2
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2,Mt CO2/yr,39604.4268,42066.4445,43822.9296,45482.3113,46566.1074,47069.3239,46474.0845,47059.2826,48137.6127,49852.0325,52116.8431,54610.0225,56720.7281,58541.9319,58855.0214,58966.0558,60134.7484,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,3204.7603,2978.2212,2614.2672,2291.3805,1970.0727,1657.4639,1304.0244,1275.5555,1133.0942,1018.0679,897.6157,781.9754,645.7615,524.1513,408.3155,281.1688,175.7008,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36298.7666,38982.2757,41098.3482,43076.8953,44478.5685,45291.1211,45046.2492,45656.9242,46874.6779,48701.1129,51083.4611,53689.5332,55933.8458,57874.1948,58300.763,58536.6798,59808.7016,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4886.9234,4971.4734,4973.0952,4994.8598,5037.8566,5072.7496,5154.4577,5460.579,5884.653,6358.0378,6789.8176,7049.0973,6981.7543,6755.7024,5844.6142,5152.8677,4936.022,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Primary Energy|Coal,EJ/yr,170.2068,188.4223,202.118,216.9199,227.772,234.3669,230.163,228.6057,235.7764,253.7215,280.8307,312.5737,339.7457,363.5101,363.0405,360.5623,374.0694,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,40.6477,46.7914,51.9834,57.5752,62.0746,65.3667,65.3673,64.3237,65.4699,69.6758,76.954,86.4077,96.0037,105.197,110.0325,113.1291,118.8364,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.5389,18008.2114,20011.4156,22090.5242,23752.9802,24946.4701,25165.4815,25018.1306,25361.1737,26486.5505,28434.5281,30931.032,33497.0121,35915.0514,37282.6331,38194.5027,39717.5475,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3462,11.4102,12.4574,13.4794,14.5478,15.6352,16.7518,17.9109,19.1349,20.4053,21.6303,22.7431,23.6723,24.3687,24.8364,25.0593,24.9846,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.7062,21.9191,20.4303,19.4611,18.8052,18.4136,18.364,20.6703,25.1124,31.1603,37.2792,41.7537,41.9453,40.1538,28.7228,20.1034,18.0649,1
POL,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9954,3.5557,3.0452,2.5801,2.1829,1.84,1.5383,1.3818,1.3294,1.3282,1.3006,1.1982,0.9734,0.7466,0.417,0.2395,0.1761,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2,Mt CO2/yr,41285.0278,44309.9034,46599.0114,48674.5628,50032.7243,50763.6556,50325.3102,51281.9904,52777.8495,54829.8534,57346.8932,60009.0649,62220.3403,64158.4033,64354.255,65194.9574,66678.5623,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,3211.0917,2986.2315,2620.2333,2298.7106,1983.472,1673.8588,1316.2771,1304.2102,1166.2944,1039.9729,919.3921,799.5197,665.5216,558.8876,464.5868,346.0547,248.657,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37973.1179,41217.8116,43868.5509,46261.8984,47931.8548,48969.1197,48885.2781,49851.0222,51481.7477,53657.0518,56291.7514,59071.0392,61413.6956,63455.9133,63743.6909,64700.6951,66279.597,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4834.4013,4908.054,4903.1726,4917.5943,4954.1351,4974.9062,5040.7419,5342.3067,5769.6642,6271.4958,6738.2902,7027.9387,6966.4114,6734.7754,5662.6279,5140.4289,4968.7033,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Primary Energy|Coal,EJ/yr,172.4709,191.1793,205.604,220.5351,230.7057,237.7835,232.7257,232.7555,241.9214,261.9607,289.9877,322.2034,348.9377,371.9854,365.2255,373.6129,392.5403,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,41.2421,47.4751,52.8006,58.3699,62.6041,66.028,65.7315,65.249,67.0036,71.7921,79.2271,88.7166,98.112,107.0683,110.6671,116.8089,124.4291,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15869.0355,18138.6392,20160.0598,22208.3614,23767.2188,24947.1821,25001.5191,24978.5321,25448.8052,26707.577,28673.9195,31158.9508,33654.0104,35999.6586,37067.7192,38686.0491,40655.5574,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,10.3254,11.3856,12.4285,13.4469,14.5137,15.5951,16.7063,17.8851,19.1373,20.4282,21.662,22.7868,23.7323,24.4542,24.9643,25.1471,25.0523,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.648,21.8279,20.3967,19.3875,18.6231,18.2277,18.0842,20.5396,25.319,31.8901,38.4043,43.1164,43.2928,41.3236,27.5612,21.0616,19.2964,1
POL,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9711,3.5263,3.0233,2.5564,2.1513,1.8137,1.5092,1.3628,1.3228,1.3354,1.3126,1.2115,0.9823,0.75,0.3891,0.2429,0.1813,1
POL,EN_INDCi2030_1000f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,24590.106,20392.7862,17295.4727,12214.4794,6137.1369,1056.3508,-3087.4788,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,3
POL,EN_INDCi2030_1000f,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-97.7551,-1679.0288,-3153.4428,-3568.4052,-3397.9118,-3130.9557,-2838.9721,-2578.9139,-2358.6773,-2131.035,-1894.1275,-1676.6558,-1489.7407,3
POL,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,24599.6478,21980.156,20353.4102,15686.0593,9437.2698,4087.9833,-349.1083,-3523.1299,-3745.744,-3975.6097,-4214.6721,-4434.2219,-4623.1485,3
POL,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2804.7956,2762.6363,3103.5249,2422.7611,1548.8265,1105.274,766.8386,575.5565,594.6257,603.7542,608.3593,608.7588,607.5839,3
POL,EN_INDCi2030_1000f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,98.8815,101.6261,99.044,92.6741,76.5773,63.4358,52.129,43.5226,39.06,34.7558,30.8695,27.3208,24.1565,3
POL,EN_INDCi2030_1000f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,25.9108,25.4542,23.7739,22.0583,18.6359,15.6272,13.0112,10.9497,9.6891,8.4688,7.3687,6.3659,5.4706,3
POL,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,9068.8832,6103.4093,3023.753,170.1368,-2635.0849,-5477.6043,-7774.7565,-9441.613,-9798.3328,-10208.0,-10587.0,-10910.0,-11204.0,3
POL,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,8.8392,8.5735,8.213,7.7379,7.2349,6.8799,6.5208,6.1423,5.7921,5.4599,5.1255,4.7891,4.4571,4.1224,3.795,3.4734,3.1604,3
POL,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,1.924,1.9279,1.8772,1.2642,0.883,0.7131,0.5459,0.4173,0.3806,0.3441,0.3115,0.2828,0.2571,3
POL,EN_INDCi2030_1000f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.1543,0.1249,0.1044,0.0614,0.0348,0.0217,0.0131,0.0082,0.0061,0.0045,0.0034,0.0025,0.0018,3
POL,EN_INDCi2030_1200,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,24934.7735,21231.58,18096.6118,13505.498,7248.0514,1995.1289,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,3
POL,EN_INDCi2030_1200,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-94.0734,-1661.114,-3077.4354,-3423.311,-3247.4043,-3048.3986,-2814.9423,-2540.7127,-2280.3245,-2024.9575,-1785.7626,-1579.3147,-1410.2566,3
POL,EN_INDCi2030_1200,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,24940.417,22800.486,21078.3128,16831.6534,10397.7786,4944.1051,2713.5003,2436.9733,2174.3657,1916.877,1675.6033,1467.1259,1296.0726,3
POL,EN_INDCi2030_1200,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2881.4676,3002.704,3259.9875,2631.8803,1582.2624,1154.2346,982.6826,957.3857,952.6707,946.0072,934.5851,923.0401,911.1077,3
POL,EN_INDCi2030_1200,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,100.7828,105.1461,104.3005,102.5735,84.9708,71.2845,60.8568,53.5549,48.0097,42.7754,38.0238,33.6739,29.8632,3
