Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,PC_m
IMA,PR_NDC_Price,P3b,Emissions|CO2,Mt CO2/yr,36890.5543131191,36233.7629844154,35221.2865873725,35375.5125681225,35480.1936678707,34600.8320177737,33106.4822975835,33030.3291138815,33338.5242210161,34199.8641199174,34773.116287586,35053.5293875531,35030.3614955144,35031.5396090334,34802.0967034333,34440.8552674194,33950.1705877135,3
IMA,PR_NDC_Price,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,727.802890207781,-1.73350844869019,-563.64109560806,-712.713294839634,-805.918446773062,-447.215762613762,-333.863473449349,-404.952109097787,-506.683861828653,-434.737693617714,-434.636763886508,-411.279881567568,-381.938685671592,-369.680272509765,-348.59582388656,-393.870551888984,-347.092985534074,3
IMA,PR_NDC_Price,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36162.7514229113,36235.4964928641,35784.9276829806,36088.2258629621,36286.1121146438,35048.0477803875,33440.3457710329,33435.2812229793,33845.2080828447,34634.6018135352,35207.7530514725,35464.8092691207,35412.300181186,35401.2198815432,35150.6925273198,34834.7258193084,34297.2635732475,3
IMA,PR_NDC_Price,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7394.62270179126,7365.01353151529,7444.7149450094,8235.57111064039,8820.20573342981,9040.6222769728,9174.12843590344,9319.89825279446,9438.27780266983,9541.38166380199,9596.49166768558,9713.02842531948,9784.07843992518,9821.07000743506,9795.86473773529,9701.4927243681,9591.62789063867,3
IMA,PR_NDC_Price,P3b,Primary Energy|Coal,EJ/yr,160.134625163136,160.870231551865,157.281222676126,156.195865998625,160.799404164721,155.94367488791,151.096135629732,152.042318684516,153.271003794297,156.917941751339,157.40573770103,153.483544248557,147.083205667733,142.843078473798,139.122815746967,136.502558855173,132.785787577813,3
IMA,PR_NDC_Price,P3b,Secondary Energy|Electricity|Coal,EJ/yr,36.48852559,38.78784389199,39.29689123973,37.58659230325,39.0805219036,38.3228531651,35.622118448687,35.561934035455,36.24759007011,38.01634110967,39.04224000667,37.57974579082,35.16659381849,33.7861044275,32.5965553823,31.8865388416,30.93977369595,3
IMA,PR_NDC_Price,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,12656.0789650148,12517.2090287299,12147.4295839245,11264.99277308,10949.2141821672,9530.73774830628,7807.85836683352,7363.98471987465,7186.91006591101,7340.85256824077,7400.11529859433,6966.58557175079,6312.60930150355,5743.8764129423,5022.95447804529,4358.25133391207,3536.12029767132,3
IMA,PR_NDC_Price,P3b,Final Energy|Industry|Solids|Biomass,EJ/yr,14.67362999431,18.36470693151,20.93945840909,24.1787179951,26.505361855,27.8299348964,29.050423803,30.4233457478,31.8656562413,33.1726127927,34.1126852129,34.5238225202,34.28525180544,33.50395409322,32.38618212277,31.19435322562,29.74666690655,3
IMA,PR_NDC_Price,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,40.768232125,38.9260747602,37.6420853178,42.3823575705,46.530932167,47.1093534504,46.89871995415,46.62138474102,45.593298996699,44.4295772446,42.2819412251872,40.6609454006447,38.7886340881864,36.8551833025139,34.9445946686702,33.1122917581333,31.1712671892239,3
IMA,PR_NDC_Price,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.561268869932,3.6889390986474,3.4548884590235,3.5081296327505,2.8557293188783,2.66571838260329,2.36936201292476,2.20739139523385,1.98593280568336,1.82024353435907,1.46947075346858,1.29937014058958,1.1318935007537,0.98114248393732,0.854530412490833,0.762042482685056,0.629565356564234,3
IMA,PR_baseline,P1a,Emissions|CO2,Mt CO2/yr,39429.04866,41308.32503,42663.33144,44465.54347,45961.10619,46634.87167,46979.04501,48176.01487,49646.85635,51430.33274,53410.86281,54919.01408,56024.34112,57552.22883,59031.99909,60468.90619,62100.81675,1
IMA,PR_baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,739.3075432,427.783039,439.2876856,533.5758352,367.7304359,418.9445202,337.5910862,147.8907181,-15.45140872,-93.31916694,-202.0815985,-270.8803655,-300.136926,-311.1012952,-313.3898283,-338.849019,-353.7537914,1
IMA,PR_baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38689.74111,40880.54199,42224.04375,43931.96763,45593.37575,46215.92715,46641.45393,48028.12415,49662.30775,51523.6519,53612.9444,55189.89445,56324.47804,57863.33012,59345.38892,60807.7552,62454.57054,1
IMA,PR_baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,8043.024381,8614.56429,8926.233279,9548.80491,10174.27077,10627.7226,10998.36069,11304.21783,11597.95913,11898.5586,12218.8985,12531.21873,12788.29754,12996.53357,13114.4561,13158.38718,13224.65819,1
IMA,PR_baseline,P1a,Primary Energy|Coal,EJ/yr,180.489201,193.1951897,200.5686524,205.0866512,212.2425675,211.2693209,211.65198,217.1333837,221.1650772,227.372694,233.6485374,234.4488986,231.512549,233.4427748,237.5689102,242.8617097,248.6092709,1
IMA,PR_baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,40.20734623,44.82389109,49.09369939,50.63611163,52.59376048,52.97511259,51.47155193,52.82491866,54.08693768,56.05240623,58.13674137,57.59655824,55.05741968,54.52000662,54.52484844,55.04897271,55.61370434,1
IMA,PR_baseline,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13553.44812,14530.00896,15508.78293,15793.82214,16258.90949,15899.45875,15358.86492,15680.70057,16079.38699,16589.25427,17188.68849,17163.47082,16677.89339,16615.83037,16593.15181,16587.05349,16621.26304,1
IMA,PR_baseline,P1a,Final Energy|Industry|Solids|Biomass,EJ/yr,14.17335165,16.55530043,18.96455809,22.00576614,24.79490247,27.33996053,30.0307244,32.55714508,34.73294097,36.74481754,38.31446672,39.28693872,39.76266439,40.02731999,40.22791939,40.34277328,40.6669049,1
IMA,PR_baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,47.20539536,50.83886212,51.61772122,54.69099975,58.24414674,60.33202398,61.67614273,61.98145296,61.54591685,61.02952262,60.06874141,58.74692825,57.24299177,55.74261619,54.3071669,52.77583514,51.42753072,1
IMA,PR_baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,6.066251101,6.23060287,5.887177957,5.868141806,5.929554698,5.792388539,5.573025581,5.206779154,4.752409638,4.352045544,3.971020029,3.603737806,3.265483703,2.961866132,2.69241077,2.424891085,2.178527558,1
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Emissions|CO2,Mt CO2/yr,39987.7177307799,42833.6466477297,40732.5515948708,29549.9409840993,16091.9623561854,3889.0764221808,-6332.75512387574,-10364.226778254,-14395.4101274211,-16011.5040458482,-17033.0150798713,-18038.447437355,-18538.8166708728,-18889.6434759383,-19258.5994832051,-19655.4670448837,-20072.5775645688,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Emissions|CO2|AFOLU,Mt CO2/yr,131.068831100204,199.055115891241,-462.376550771646,-1502.89780733457,-2256.86541798325,-2389.32101926921,-3421.54565430735,-2967.95053439015,-2335.49175713603,-1888.7904115583,-1608.15914487637,-1434.15213040389,-1337.90519812308,-1261.64787760827,-1189.25960228275,-1122.25367055303,-1068.70546341766,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39856.6488996796,42634.5915318385,41194.9281456424,31052.8387914338,18348.8277741686,6278.39744145,-2911.20946956838,-7396.27624386385,-12059.9183702851,-14122.7136342899,-15424.8559349949,-16604.2953069511,-17200.9114727497,-17627.9955983301,-18069.3398809224,-18533.2133743306,-19003.8721011512,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7829.46860984107,8575.88728260993,8191.0006104302,6183.13971639152,4656.74616834224,2655.24553525104,2016.16555415032,2007.0595435404,1926.90739149059,1956.02547033073,2048.86273399389,2126.80568308366,2203.86293712944,2282.26148905437,2340.36240664868,2393.75698467135,2459.90205933621,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Primary Energy|Coal,EJ/yr,191.2349,206.525,190.6915,145.2077,95.57877,79.4896,83.04141,87.07606,89.99835,93.50922,97.86987,102.005,105.3044,108.9664,111.543,103.0857,88.01316,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Secondary Energy|Electricity|Coal,EJ/yr,44.59155,49.49794,49.89664,43.50902,31.26848,30.5023,33.28542,35.32401,36.97431,38.99464,41.28483,43.45749,45.05621,46.86132,48.28745,45.39688,39.44298,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.9681327899,16967.5185828447,16688.2128481136,10986.5660500868,2268.12201710705,-2436.5567103348,-3691.21657197568,-3999.60997538075,-4130.35719339941,-4205.08054044867,-4336.12781861839,-4557.86085677015,-4830.1143103975,-5009.45682247814,-5113.57607624545,-5220.93496786405,-5184.30203901394,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,14.69921,18.07519,25.10833,30.10913,24.35968,11.6702,7.923695,7.438936,6.858407,6.586486,6.399352,6.081502,5.633513,5.155772,4.681902,4.329781,4.19297,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Final Energy|Industry|Solids|Coal,EJ/yr,43.83071,47.93093,40.65449,24.81496,14.8181,5.600158,3.894903,3.787,3.517438,3.294667,3.037396,2.734735,2.478453,2.278184,2.109728,1.979641,1.877831,2
IMA,GCAM_1.5C_high_os_high-cost-DAC,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.944387,5.465421,2.026749,0.5024626,0.1866373,0.04276045,0.02479143,0.02282195,0.02022542,0.01849908,0.01678722,0.01495058,0.01321769,0.01168748,0.01032705,0.009204389,0.008251932,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Emissions|CO2,Mt CO2/yr,39987.717590221,42833.6463157569,40732.5509460894,29549.9395963976,16091.9609383454,3889.49848654139,-6318.33486226066,-10351.7964214686,-14406.4292837776,-15953.1016101659,-16983.4470894189,-17991.2529401951,-18473.4591589976,-18795.2131316428,-19171.2950002349,-19603.5474246253,-20068.7607616388,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Emissions|CO2|AFOLU,Mt CO2/yr,131.068831100204,199.055115891241,-462.376550771646,-1502.89781103827,-2256.86528912832,-2656.2344732406,-3130.67322066537,-2603.9240944171,-2106.88833066433,-1764.81741864401,-1530.36177155279,-1398.40244106166,-1322.64718656554,-1257.48562404716,-1187.96759760297,-1111.21677994906,-1053.01935883479,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39856.6487591208,42634.5911998657,41194.927496861,31052.8374074359,18348.8262274738,6545.73295978199,-3187.66164159529,-7747.87232705147,-12299.5409531133,-14188.2841915219,-15453.0853178661,-16592.8504991335,-17150.8119724321,-17537.7275075957,-17983.327402632,-18492.3306446762,-19015.741402804,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7829.46859976901,8575.88725215381,8191.00054374146,6183.13957318733,4656.74633068394,3329.60831200733,3264.0727257595,3276.14954160794,3291.61683291893,3328.68397005495,3364.58597998217,3364.46491855532,3400.38008365851,3470.14436161547,3521.4235437204,3584.32703724305,3675.28833062711,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Primary Energy|Coal,EJ/yr,191.2356,206.5275,190.6952,145.2127,95.5829,84.78687,93.05884,96.35427,98.23332,105.7126,110.722,114.4973,119.0381,124.2214,127.0699,115.8911,98.85264,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Secondary Energy|Electricity|Coal,EJ/yr,44.59155,49.49794,49.89664,43.50902,31.26848,31.19861,34.90784,36.67936,37.79701,41.71989,44.42992,46.38247,48.4983,50.98253,52.50387,48.62855,42.07668,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.968122729,16967.5185522303,16688.2127823993,10986.5658916878,2268.12165547679,-1471.09673577119,-2054.79411634456,-2344.77128701817,-2754.04543808743,-2880.14879594457,-3101.1069090775,-3454.11522089705,-3819.65327524027,-4073.43154348946,-4296.43779264877,-4518.82955370367,-4493.08807511111,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,14.69921,18.07519,25.10833,30.10913,24.35968,15.94394,14.78197,14.11748,13.3858,12.99472,12.78162,12.31494,11.53223,10.65186,9.798195,9.226911,9.198894,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Final Energy|Industry|Solids|Coal,EJ/yr,43.83071,47.93093,40.65449,24.81496,14.8181,8.120488,7.956576,7.580353,7.10493,6.689292,6.217329,5.633698,5.139444,4.743576,4.394082,4.096118,3.884058,2
IMA,GCAM_1.5C_high_os_low-cost-DAC,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.944387,5.465421,2.026749,0.5024626,0.1866373,0.07154735,0.06625763,0.05904806,0.05197527,0.04646926,0.04125444,0.03617881,0.03166812,0.02766254,0.0241058,0.02101427,0.01849953,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Emissions|CO2,Mt CO2/yr,39987.7177664094,27076.2688373311,14875.4720580212,3910.64258658525,-3034.59116414733,-5836.21084361414,-6447.37168441993,-6865.75080283223,-6853.43113476197,-6847.83013210203,-6837.06574746445,-6818.87078369241,-6810.28076878473,-6800.83417698003,-6787.85183410342,-6788.01451827184,-6793.73695393357,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Emissions|CO2|AFOLU,Mt CO2/yr,131.068831100204,-486.607627709539,-1368.13481502991,-1000.95288700688,-3498.68270626931,-3084.46736092573,-2445.90709461075,-2006.79932923605,-1738.74821502276,-1564.55901426471,-1483.93310173849,-1411.49289818205,-1331.80616991311,-1244.45606059654,-1156.73385543987,-1113.86134970898,-1125.91643241472,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39856.6489353091,27562.8764650407,16243.6068730511,4911.59547359213,464.091542121987,-2751.74348268841,-4001.46458980918,-4858.95147359617,-5114.68291973921,-5283.27111783732,-5353.13264572595,-5407.37788551036,-5478.47459887162,-5556.37811638349,-5631.11797866355,-5674.15316856286,-5667.82052151886,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7829.46861038838,5466.18266355894,4175.04647840818,2541.37122345187,1978.96349277613,2013.89184563606,2015.60189956736,2002.15132029081,1975.3542596098,2038.90602949234,2174.22279428247,2273.00238841674,2326.05839678952,2336.23448092475,2340.50706778909,2346.08241518878,2390.37150221186,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Primary Energy|Coal,EJ/yr,191.2034,125.7074,84.40645,76.3821,79.16828,82.55964,84.9597,86.58875,89.79273,91.62172,94.45294,98.37662,101.6513,96.02793,85.11359,79.62113,78.23446,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Secondary Energy|Electricity|Coal,EJ/yr,44.59155,35.43712,25.37377,26.65682,29.03351,30.54808,31.75949,33.03033,34.83719,36.06306,37.6219,39.66965,41.29685,40.09437,36.70547,35.08383,35.03334,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.9681341622,9413.37770563477,1004.17616599057,-3408.54602472377,-4650.90733612686,-4873.70426667386,-4704.50130464212,-4494.76008152463,-4546.02540670587,-4981.77765126528,-5340.28121844169,-5452.29370953535,-5327.34289061804,-5200.04683984421,-4993.78454266661,-4426.30085971979,-4248.1078660874,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,14.69921,25.31872,21.47999,10.9326,7.491669,6.868094,6.58339,6.673704,6.811411,7.069443,7.033975,6.654951,6.166771,5.687126,5.33726,5.129211,4.836285,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Final Energy|Industry|Solids|Coal,EJ/yr,43.83071,21.82583,13.24432,5.794126,4.181253,4.151071,4.006172,3.757784,3.463319,3.182845,2.970906,2.794912,2.637835,2.499575,2.355156,2.176371,2.017844,2
IMA,GCAM_1.5C_low_os_high-cost-DAC,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.944387,0.4280367,0.1657783,0.04652513,0.02769563,0.02624629,0.0243507,0.02212952,0.02037479,0.01871484,0.0170869,0.01547367,0.01393631,0.01269914,0.01148637,0.0101269,0.008983381,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Emissions|CO2,Mt CO2/yr,39987.7176608772,27076.2683675747,14875.4714345747,3911.14573736916,-3034.75304005919,-5836.30340208817,-6449.88179813183,-6874.20547333022,-6860.79121587854,-6825.56750161592,-6806.56476182276,-6792.72867924548,-6783.98984458785,-6766.6258715973,-6756.28428918389,-6747.63291102374,-6800.37613047287,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Emissions|CO2|AFOLU,Mt CO2/yr,131.068831100204,-486.607627709539,-1368.13481506657,-1656.0478726143,-3222.06952079828,-2656.5705528208,-2209.17582744003,-1872.08887888497,-1631.46037329497,-1481.86329686604,-1412.76434808846,-1351.10532086199,-1283.27649407781,-1209.65470913483,-1130.71806689622,-1112.47016704023,-1126.25955210837,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39856.648829777,27562.8759952842,16243.6062496413,5567.19360998347,187.316480739091,-3179.73284926736,-4240.70597069181,-5002.11659444526,-5229.33084258357,-5343.70420474989,-5393.80041373429,-5441.62335838349,-5500.71335051004,-5556.97116246247,-5625.56622228767,-5635.16274398351,-5674.1165783645,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7829.46859976901,5466.18261637679,4175.04641572904,3138.64817311134,3237.21450846706,3284.39576125324,3249.59877339965,3275.3219955005,3309.12331712979,3365.82667243914,3446.61840902884,3507.09165423095,3532.46339116884,3555.01128772064,3561.56471240017,3556.70584826391,3653.66675398828,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Primary Energy|Coal,EJ/yr,191.2078,125.7136,84.41105,80.77487,88.58,93.41034,95.3674,98.74653,103.5012,107.3761,111.4403,115.9549,119.5838,111.5051,97.8388,91.12995,89.15079,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Secondary Energy|Electricity|Coal,EJ/yr,44.59155,35.43712,25.37377,27.20285,30.49501,32.58044,33.68201,35.50517,38.14125,40.38343,42.48285,44.69912,46.4006,44.23414,39.87885,37.8664,37.57226,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.968122729,9413.37764923967,1004.17606955618,-2487.55682312198,-3041.4522272141,-3265.67918284323,-3366.21919199079,-3391.32678168498,-3525.86898110338,-3798.78899932842,-4091.83647568507,-4289.97366821855,-4332.88993454502,-4367.90007895383,-4171.62880013551,-3697.78577627086,-3722.7801488917,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,14.69921,25.31872,21.47999,14.99276,13.94989,13.07256,12.86864,12.85577,13.11214,13.55679,13.57726,12.9089,12.05924,11.28217,10.86433,10.55808,10.07629,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Final Energy|Industry|Solids|Coal,EJ/yr,43.83071,21.82583,13.24432,8.067162,8.224933,8.119608,7.725628,7.383034,6.924102,6.474488,6.108426,5.735077,5.367915,5.105615,4.779827,4.365626,4.132518,2
IMA,GCAM_1.5C_low_os_low-cost-DAC,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.944387,0.4280367,0.1657783,0.07450372,0.07229733,0.06804115,0.06107908,0.05575814,0.05053361,0.04557679,0.04107598,0.03666598,0.03253295,0.02956346,0.02631461,0.02260066,0.01999913,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Emissions|CO2,Mt CO2/yr,39987.7235779237,27076.1888381383,14875.4837546599,3909.45985310058,-3030.79945934466,-5819.10715082157,-6422.9970546864,-6837.93067003044,-6830.5730282229,-6824.60314729108,-6816.25646782706,-6808.00830111283,-6800.31658398736,-6794.29999405211,-6788.74749029576,-6783.76600243907,-6780.09652459222,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Emissions|CO2|AFOLU,Mt CO2/yr,131.075706468929,-486.608474236792,-1368.12536225231,-1001.84885739343,-3402.20476870005,-3239.78539401061,-2736.7912786768,-2293.55522238743,-1988.04107398427,-1780.55863566804,-1625.93631342762,-1491.49345976548,-1382.36417570448,-1283.62163065615,-1207.91271310398,-1158.84549404904,-1132.42669965878,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39856.6478714547,27562.7973123751,16243.6091169122,4911.30871049401,371.405309355391,-2579.32175681095,-3686.2057760096,-4544.37544764301,-4842.53195423863,-5044.04451162304,-5190.32015439943,-5316.51484134735,-5417.95240828288,-5510.67836339596,-5580.83477719178,-5624.92050839003,-5647.66982493344,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7829.46518653265,5466.15391314523,4175.0421678055,2541.63341836256,1757.91296100822,1224.44574810776,1015.43042867514,829.299035344374,729.013168522308,643.797424456816,616.962607296711,672.837025805082,734.243099555124,760.00563239811,755.87947187951,727.296433970299,713.991249157169,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Primary Energy|Coal,EJ/yr,191.2009,125.701,84.39784,76.37403,77.19709,72.54701,68.8215,62.4708,57.39643,50.59197,49.20719,50.12575,50.48897,48.81205,46.84681,46.01192,45.66898,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Secondary Energy|Electricity|Coal,EJ/yr,44.59155,35.43701,25.37379,26.65733,28.55901,27.60787,26.5582,24.60158,23.03067,20.74376,20.45023,21.13009,21.51482,21.42716,21.30524,21.42602,21.7133,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.9703310466,9413.33376850384,1004.17747909349,-3408.69735695868,-4818.54678585224,-5491.60879448656,-5704.05362442078,-5834.85010608889,-5970.10850666713,-6469.10439053281,-6780.84383902124,-6669.85060393077,-6331.31631790818,-6009.80872071503,-5690.20266538748,-5283.12283919598,-5244.68530628085,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Final Energy|Industry|Solids|Biomass,EJ/yr,14.69921,25.31869,21.47997,10.93487,6.390249,3.875554,3.05243,2.394776,2.046451,1.789981,1.664813,1.505681,1.337698,1.173765,1.03607,0.9167417,0.8133058,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Final Energy|Industry|Solids|Coal,EJ/yr,43.83072,21.82571,13.24431,5.795073,3.63103,2.513352,2.098706,1.667774,1.334286,1.044732,0.8994732,0.8177138,0.7496617,0.6791414,0.6114938,0.5438658,0.4803563,2
IMA,GCAM_1.5C_low_os_noDAC,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,5.944387,0.4280342,0.1657781,0.04653641,0.02265799,0.01265661,0.0094244,0.006776375,0.005368646,0.004285911,0.003815984,0.003441079,0.003044425,0.002667405,0.00234418,0.002035343,0.001762399,2
AIM,CO_2Deg2020,P2a,Emissions|CO2,Mt CO2/yr,41786.6546261946,37049.4681023265,31184.3590523141,23573.8540060493,17206.0123713558,14415.7497571699,11564.6335459732,8148.18935214048,4731.74515830776,3515.68063386453,2299.6161094213,677.8420461635119,-943.932017094276,-1212.607722074758,-1481.28342705524,-2330.091135872635,-3178.89884469003,2
AIM,CO_2Deg2020,P2a,Emissions|CO2|AFOLU,Mt CO2/yr,4883.58413472464,4487.67069767979,3119.74856037447,2889.83103659198,3735.45755231563,3759.80072999405,3047.20352617786,1489.7441114101111,-67.7153033576377,-108.58716506256386,-149.45902676749,-651.69416311844,-1153.92929946939,-1221.50632191378,-1289.08334435817,-1623.7338292336349,-1958.3843141091,2
AIM,CO_2Deg2020,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36903.0628356934,32561.784362793,28064.6112365723,20684.0264282227,13470.5558891296,10655.9476013184,8517.43148422241,6658.445506095885,4799.45952796936,3624.2671585083,2449.07478904724,1329.536252856254,209.997716665268,8.898964107036505,-192.199788451195,-706.3575535714625,-1220.51531869173,2
AIM,CO_2Deg2020,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7051.22016370296,5993.36635569731,4913.27958305677,3793.12608142694,2789.63768730561,2137.27449377378,1565.13409068187,1467.349357903005,1369.56462512414,1201.70388991634,1033.84315470854,985.06584142645,936.28852814436,846.588765581449,756.889003018538,709.4005631903806,661.912123362223,2
AIM,CO_2Deg2020,P2a,Primary Energy|Coal,EJ/yr,164.3745,140.461796875,115.735,81.0926328125,51.48012890625,50.97066015625,54.77019140625,63.640740234375,72.5112890625,81.68550390625,90.85971875,96.226109375,101.5925,113.10330078125,124.6141015625,137.09605078125,149.578,2
AIM,CO_2Deg2020,P2a,Secondary Energy|Electricity|Coal,EJ/yr,37.204118272,31.4795700507969,25.517486257,16.185234222,7.276621182,8.357834624,10.566256787,13.7668064611301,16.9673561352602,20.253329135558403,23.5393021358566,25.10222985540836,26.6651575749601,28.68484399245175,30.7045304099434,32.3638197937743,34.0231091776052,2
AIM,CO_2Deg2020,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13594.4454669952,11596.9519615173,9546.29826545715,4705.50648371379,-107.093434780836,-1129.64312235514,-1713.67755532265,-2567.79549022516,-3421.91342512767,-3943.940202395125,-4465.96697966258,-5222.288489341736,-5978.60999902089,-6062.479575475056,-6146.34915192922,-6396.92348241806,-6647.4978129069,2
AIM,CO_2Deg2020,P2a,Final Energy|Industry|Solids|Biomass,EJ/yr,13.1654301757812,15.1671420898438,18.8223720703125,23.9436928710937,28.2555283203125,31.1430341796875,35.565029296875,35.620323242187496,35.6756171875,36.30106372070316,36.9265102539063,38.837177978515655,40.747845703125,39.0926220703125,37.4373984375,36.18616650390625,34.9349345703125,2
AIM,CO_2Deg2020,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,39.326171875,34.84778125,31.73755078125,26.966859375,24.0400703125,23.404109375,24.511919921875,26.51539453125,28.518869140625,28.4302998046875,28.34173046875,27.3028056640625,26.263880859375,25.48860546875,24.713330078125,23.736705078125,22.760080078125,2
AIM,CO_2Deg2020,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.85773486328125,4.3796240234375,3.76748468017578,3.02951470947266,2.24047204589844,1.31215763854981,0.521606597900391,0.335253722190857,0.148900846481323,0.1062456426620482,0.0635904388427734,0.0431243648529052,0.0226582908630371,0.0209585952758789,0.0192588996887207,0.0162755246162414,0.0132921495437622,2
AIM,CO_2Deg2030,P3b,Emissions|CO2,Mt CO2/yr,41734.2184282732,40789.8333370415,39229.1904332538,28271.4000676743,20615.7599302596,14228.6432304602,10858.5728362736,6429.99268653832,2001.41253680304,895.359817586279,-210.692901630482,-1099.255823871091,-1987.8187461117,-2612.389221428895,-3236.95969674609,-3699.45976799582,-4161.95983924555,3
