Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.7881,0.8526,0.2468,0.1236,0.0625,0.0423,0.0278,0.0167,0.0092,0.0056,0.0027,0.0019,0.0014,0.001,0.0008,0.0006,0.0004
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.7881,1.4651,0.8236,0.4742,0.2641,0.1859,0.1411,0.1023,0.0668,0.0414,0.0226,0.0148,0.01,0.0068,0.0047,0.0033,0.0024
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8759,3.2879,2.6833,2.1437,1.6924,1.3227,1.0244,0.7263,0.5314,0.3964,0.3008,0.2308,0.1799,0.1409,0.1109,0.0852,0.0649
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.8433,0.8728,0.2527,0.127,0.0639,0.042,0.0262,0.0156,0.0086,0.0053,0.0025,0.0018,0.0013,0.001,0.0008,0.0006,0.0004
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.8433,1.5115,0.8534,0.4897,0.2694,0.1889,0.143,0.1036,0.0687,0.0425,0.0233,0.0153,0.0104,0.0071,0.005,0.0036,0.0027
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9161,3.335,2.7332,2.1911,1.7348,1.3591,1.0554,0.75,0.5489,0.4102,0.3122,0.2406,0.1882,0.1485,0.1177,0.091,0.0699
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.844,0.8718,0.245,0.1211,0.061,0.04,0.0245,0.0146,0.0078,0.0048,0.0023,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.844,1.5134,0.8512,0.4861,0.2628,0.1832,0.138,0.0992,0.0655,0.0405,0.0223,0.015,0.0104,0.0072,0.0051,0.0037,0.0027
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9146,3.3329,2.7306,2.188,1.7315,1.3561,1.053,0.7479,0.5472,0.4088,0.3111,0.2397,0.1875,0.148,0.1173,0.0906,0.0694
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.79,0.8633,0.2466,0.1217,0.063,0.0431,0.0306,0.0182,0.0102,0.0064,0.0033,0.0022,0.0017,0.0013,0.001,0.0007,0.0005
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.79,1.4938,0.8659,0.4974,0.2777,0.1973,0.1528,0.1111,0.0736,0.0471,0.0267,0.0176,0.0119,0.0082,0.0057,0.004,0.0029
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8743,3.2853,2.6798,2.139,1.6865,1.3155,1.0165,0.7187,0.5244,0.3903,0.2957,0.2265,0.1764,0.1383,0.1086,0.0835,0.0635
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.7122,0.8897,0.2372,0.1184,0.0603,0.04,0.0281,0.0169,0.0088,0.0053,0.0025,0.0016,0.0012,0.0008,0.0006,0.0004,0.0003
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,2.7122,1.5961,0.8893,0.4961,0.252,0.1756,0.1356,0.1017,0.0729,0.0467,0.0251,0.0163,0.0109,0.0073,0.0048,0.0033,0.0022
