Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Emissions|CO2,Mt CO2/yr,43578.7272,46169.7508,47859.086,49780.0309,51443.6931,52898.2867,53798.9393,55112.9543,55548.1253,56069.3797,56705.2482,57298.6288,57870.7622,58582.0691,59311.1897,59962.4934,60674.8651
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39050.7392,29159.3713,19148.7891,15254.1922,12326.2166,10257.6221,7444.7337,6340.9648,5668.5495,5569.5197,4868.6395,5264.4365,5664.477,5865.2026,6059.9335,6461.5227,6847.6618
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Emissions|CO2,Mt CO2/yr,39050.7392,35189.9716,30965.456,26380.79,23015.1658,21502.4198,19191.895,17054.1909,15901.3452,14759.3088,13268.7879,12895.4452,12467.7967,12227.0487,11966.5702,12131.6996,12258.0419
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45715.5192,48961.7285,51263.2217,53762.6922,55993.8746,57945.8579,59319.3358,60661.7846,61571.5408,62582.8976,63730.4251,64844.5623,65952.3235,67315.0755,68610.1843,69808.1803,71024.5283
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39050.7392,29157.5792,19166.7524,15396.5828,12667.5915,10748.7858,7839.784,7106.8976,6532.5434,6514.2533,5759.5482,6186.5811,6646.7176,6909.8227,7173.1705,7651.7288,8119.4802
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Emissions|CO2,Mt CO2/yr,39050.7392,35164.9886,30899.0468,26503.0046,23211.1257,21822.4051,19596.3246,17923.8618,16828.6676,15677.0286,14174.1647,13806.2912,13398.2236,13199.1681,12981.8406,13199.4514,13374.4244
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45715.5192,48961.7285,51263.2217,53762.6922,55993.8746,57945.8579,59319.3358,60661.7846,61571.5408,62582.8976,63730.4251,64844.5623,65952.3235,67315.0755,68610.1843,69808.1803,71024.5283
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39042.5533,29164.3893,19232.2104,15488.6097,12860.5064,10896.9189,7973.7155,6934.4912,6347.4049,6300.9232,5565.7567,6021.2074,6486.2975,6739.0534,6987.7156,7436.2336,7885.3002
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Emissions|CO2,Mt CO2/yr,39042.5533,35189.2807,31005.5107,26628.8295,23538.1096,22132.189,19802.7219,17594.6394,16548.9852,15559.9414,14102.2975,13733.4017,13345.5118,13144.1513,12928.8417,13142.6278,13306.6759
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45697.2032,48944.4895,51249.8809,53759.5261,56016.4719,58044.9262,59443.9486,60861.6704,61826.5956,62902.0199,64133.9845,65332.406,66464.2917,67851.4748,69169.5241,70398.9914,71638.3575
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39077.7224,29166.6958,19142.8399,15248.8152,12293.5282,10186.9495,7342.7858,6204.7826,5499.0947,5333.1693,4577.8858,4928.0431,5276.9732,5418.2837,5540.1917,5849.1563,6141.5102
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Emissions|CO2,Mt CO2/yr,39077.7224,35213.9814,30984.7083,26417.4202,23077.8176,21517.6732,19116.3455,16929.5727,15731.6818,14560.5803,13048.7869,12599.5552,12123.0939,11818.602,11488.7655,11572.1646,11592.0728
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45877.0715,49210.7754,51604.8157,54191.9167,56400.5575,58310.2181,59617.4749,60927.3094,61814.3338,62780.1364,63844.9377,64846.8675,65850.7682,67036.4753,68127.3146,69076.5801,69964.7259
