Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1733,5.3872,1.6877,1.0136,0.615,0.4855,0.3623,0.2564,0.1701,0.1278,0.0777,0.0659,0.0599,0.0558,0.0517,0.0481,0.0451
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1733,9.5576,6.0727,4.0693,2.6574,2.2053,1.965,1.6909,1.3096,0.9609,0.6191,0.4841,0.3947,0.3257,0.2706,0.2326,0.2047
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.4119,21.6118,20.4021,19.3015,18.0207,16.5742,15.0509,12.5637,10.7424,9.2983,8.1445,7.2095,6.5225,6.0497,5.6336,5.2255,4.8305
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4848,5.5317,1.7357,1.048,0.633,0.4849,0.3443,0.2391,0.1589,0.1198,0.0703,0.0589,0.0533,0.0496,0.0462,0.0435,0.0415
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4848,9.8787,6.3171,4.2348,2.7246,2.2515,1.9992,1.7172,1.3488,0.9872,0.6356,0.5,0.4109,0.3421,0.2883,0.2521,0.2268
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.6299,21.9046,20.7604,19.709,18.4639,17.0245,15.5097,13.0044,11.1325,9.6639,8.4936,7.5467,6.8509,6.4196,6.0151,5.6075,5.2206
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4954,5.5362,1.6974,1.0117,0.6117,0.4684,0.3271,0.2273,0.1468,0.1106,0.0639,0.0537,0.0486,0.0451,0.0419,0.039,0.037
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.4954,9.9061,6.3211,4.2314,2.6842,2.2076,1.951,1.6595,1.2928,0.9402,0.6072,0.4852,0.4051,0.3417,0.2905,0.2556,0.2308
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.626,21.8974,20.7492,19.6925,18.4434,17.0031,15.4915,12.9841,11.1098,9.6409,8.4705,7.5223,6.8278,6.3977,5.9928,5.5849,5.192
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1893,5.4552,1.7095,1.0163,0.6309,0.5048,0.409,0.2875,0.1958,0.1498,0.0966,0.0812,0.0737,0.0686,0.0636,0.0596,0.0561
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,16.1893,9.7662,6.4384,4.3287,2.8463,2.3904,2.1766,1.8762,1.4719,1.1141,0.7431,0.5814,0.4756,0.3968,0.3332,0.2893,0.257
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.4056,21.6003,20.384,19.2731,17.9798,16.516,14.9785,12.4747,10.6344,9.1821,8.0251,7.0893,6.4068,5.9538,5.5283,5.1222,4.7256
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,15.7989,5.4542,1.5323,0.9072,0.5513,0.4259,0.3383,0.233999999999999,0.1447,0.1061,0.0617,0.0499,0.0437,0.039,0.0344,0.0302,0.0266
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Final Energy|Industry|Solids|Coal,EJ/yr,15.7989,10.378,6.4731,4.1686,2.454,2.0159,1.833,1.6217,1.3695,1.0278,0.6383,0.4909,0.3953,0.3212,0.2587,0.2139,0.1795
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,18.6624,17.1737,15.612,14.2738,12.912,11.5635,10.1995,9.1494,8.2589,7.1143,5.7765,4.7843,4.0279,3.429,2.9533,2.6109,2.3375
AIM/CGE 2.1,CO_Bridge,P3c,Final Energy|Industry|Solids|Coal,EJ/yr,41.4189,18.2951,9.0533,3.8285,2.2659,1.5359,1.0912,0.96825,0.8453,0.73985,0.6344,0.5550999999999999,0.4758,0.4189,0.362,0.3188999999999999,0.2758
AIM/CGE 2.1,CO_CurPol,P1b,Final Energy|Industry|Solids|Coal,EJ/yr,41.3848,40.4377,37.6603,35.6473,33.448,31.0477,27.2058,27.29865,27.3915,29.10495,30.8184,33.431,36.0436,38.88555,41.7275,43.6182,45.5089
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.8252,3.1227,0.3239,0.026,0.0294,0.046,0.0791,0.1135,0.0966,0.0733,0.0495,0.0276,0.0169,0.0076,0.0027,0.0004,0.0002
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.42,2.6045,0.2571,0.0198,0.021,0.0309,0.0499,0.0683,0.0531,0.0352,0.0183,0.0088,0.0042,0.0012,0.0002,0.0,0.0
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.8252,2.8966,0.7257,0.6901,0.7207,0.6213,0.4617,0.2966,0.1912,0.1568,0.1289,0.109,0.083,0.0527,0.0332,0.0179,0.0079
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Final Energy|Industry|Solids|Coal,EJ/yr,21.42,2.4167,0.5896,0.5377,0.5619,0.4797,0.3671,0.2337,0.1534,0.1311,0.0973,0.0555,0.0345,0.0196,0.0102,0.0044,0.0014
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.7062,21.9191,20.4303,19.4611,18.8052,18.4136,18.364,20.6703,25.1124,31.1603,37.2792,41.7537,41.9453,40.1538,28.7228,20.1034,18.0649
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,22.648,21.8279,20.3967,19.3875,18.6231,18.2277,18.0842,20.5396,25.319,31.8901,38.4043,43.1164,43.2928,41.3236,27.5612,21.0616,19.2964
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,1.924,1.9279,1.8772,1.2642,0.883,0.7131,0.5459,0.4173,0.3806,0.3441,0.3115,0.2828,0.2571
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,2.038,2.1709,2.0049,1.3718,0.8684,0.7451,0.6449,0.5902,0.5361,0.4878,0.4437,0.4047,0.3751
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,2.8756,3.2635,2.8093,1.9277,0.9127,0.6818,0.6917,0.5743,0.4351,0.3909,0.3525,0.3163,0.2856
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,3.3543,3.9368,3.1141,2.1923,1.3068,0.7532,0.7202,0.6712,0.61,0.5503,0.4956,0.4524,0.4112
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,4.4109,4.6398,3.474,2.4575,1.5273,0.9838,0.774,0.7374,0.5941,0.4557,0.3881,0.3536,0.3199
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,5.6085,5.1049,3.8193,2.6926,1.7012,1.134,0.8238,0.7726,0.6364,0.5731,0.519,0.4721,0.4276
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,6.7356,5.7239,4.1325,2.9399,1.9226,1.2297,0.8912,0.7679,0.6752,0.5537,0.4751,0.4319,0.3906
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,8.4126,6.2636,4.3072,3.2004,2.3459,1.4549,1.0439,0.8198,0.754,0.6289,0.5563,0.5037,0.4561
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,8.4126,6.2636,4.3072,3.2004,2.3459,1.4549,1.0439,0.8198,0.754,0.6289,0.5563,0.5037,0.4561
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,1.704,1.1705,1.0854,1.0147,0.7814,0.5712,0.4687,0.424,0.3794,0.3406,0.307,0.2781,0.2536
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,8.6518,1.7076,1.4252,1.5256,1.1639,0.8538,0.6454,0.4714,0.4177,0.3753,0.3385,0.3065,0.2782,0.254
