Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,34459.5391,32389.9804,29129.9676,25413.6117,22352.9667,20452.9566,18383.1629,16177.505,15362.3647,14678.2891,13342.9041,12842.5696,12511.707,12233.7076,11981.387,11864.3195,11839.8191
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37800.7897,40672.131,43201.7105,45666.9136,47758.7856,49556.7573,50990.6156,52024.9917,52796.7045,53610.9633,54510.247,55367.0334,56219.4384,57141.2957,58124.2429,59018.6376,59924.8518
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35593.6837,27800.865,19033.3567,16393.0774,14481.0529,12939.7723,10714.1189,9478.5918,8847.0941,8556.8679,7860.8108,7799.0937,7870.5711,7991.0997,8101.2013,8234.7451,8371.2193
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35593.6837,33298.2136,29863.0168,26139.5646,23104.7727,21114.3981,19054.3618,17173.6122,16641.4374,15888.4308,14482.4476,14040.5958,13773.9524,13561.7013,13372.5767,13328.0522,13387.721
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39666.9505,43213.6875,46377.0867,49450.0253,52108.3462,54414.0171,56317.1285,57363.6323,58605.6854,59910.0352,61318.6916,62675.502,64076.57,65686.703,67169.2802,68654.246,70070.8722
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35593.6837,27794.8865,19052.7615,16468.5853,14625.2501,13136.7258,11037.4672,10041.6353,9469.084,9162.1541,8479.5725,8397.9277,8495.0378,8647.8996,8802.992,8984.9433,9183.556
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35593.6837,33245.7718,29732.3132,26138.1454,23141.449,21098.0992,18801.9122,17693.929,17282.2215,16607.7068,15236.6614,14760.7214,14500.7873,14329.8217,14191.1493,14191.283,14284.3337
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39666.9505,43213.6875,46377.0867,49450.0253,52108.3462,54414.0171,56317.1285,57363.6323,58605.6854,59910.0352,61318.6916,62675.502,64076.57,65686.703,67169.2802,68654.246,70070.8722
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35587.4605,27805.227,19122.772,16547.0141,14807.4186,13322.1057,11186.0495,9920.5984,9356.1743,9039.0652,8365.223,8310.7691,8411.2419,8560.7442,8706.7897,8865.3373,9041.7707
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35587.4605,33295.839,29892.8681,26272.9528,23365.4418,21451.4573,19375.9178,17479.5937,17027.5511,16438.4318,15198.2953,14713.8378,14455.8106,14279.1658,14138.0352,14143.1321,14241.7448
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39665.7984,43212.6659,46377.2199,49453.996,52123.7236,54460.4807,56406.9234,57500.8891,58796.2682,60160.4687,61634.1739,63063.7926,64535.4468,66171.765,67673.6137,69191.3365,70633.2846
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35666.724,27816.0629,19037.739,16384.6081,14439.5538,12864.2021,10600.167,9345.1135,8679.8288,8371.8025,7601.3543,7529.8583,7582.0779,7673.2748,7744.4306,7817.4331,7895.5755
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35666.724,33344.7527,29895.6511,26153.3694,23093.8998,21054.5997,18922.1192,17001.7505,16447.0942,15672.5994,14243.7658,13745.2239,13439.0291,13182.414,12934.4041,12809.1422,12769.0624
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39830.6836,43466.2438,46722.0221,49880.0081,52517.1155,54777.6978,56615.629,57630.3551,58849.2296,60110.2711,61437.248,62694.6656,63978.866,65411.3139,66696.9348,67930.8106,69019.2271
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35585.2675,27788.9573,18980.3768,16282.3044,14297.4028,12705.0172,10406.0714,9183.7755,8551.178,8262.6287,7452.1278,7390.6977,7465.0184,7579.5162,7692.2856,7817.4585,7945.8208
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35585.2675,33281.5912,29829.4146,26083.606,23064.6058,21075.2662,19020.8741,17160.1249,16420.3855,15623.2089,14177.0117,13681.275,13374.0898,13140.2746,12928.7911,12875.545,12931.341
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39659.4953,43197.8564,46346.4373,49395.4711,52018.9496,54271.7529,56105.7873,57119.3245,58334.9538,59621.1857,61005.1838,62338.1684,63711.83,65300.9778,66764.0985,68229.6642,69618.5036
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35568.5439,27770.3041,18921.417,16162.7212,14182.832,12582.1983,10252.943,9060.7691,8400.1206,8152.0783,7354.3716,7305.4763,7359.7601,7452.332,7538.8195,7631.0374,7750.292
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35568.5439,33250.742,29780.4303,26007.2775,22895.228,20903.7926,18864.8551,17038.1246,16299.3792,15500.4706,14124.8157,13675.402,13394.7511,13202.2707,13035.4459,12998.3838,13066.1066
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39643.5184,43168.388,46299.1044,49322.4348,51919.3684,54161.752,55998.0855,57008.751,58214.8062,59487.0792,60860.0906,62176.207,63533.2714,65111.6379,66553.5615,68003.6247,69366.4371
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35626.3684,27771.8908,18976.629,16305.9115,14504.8096,12901.7924,10766.4663,9758.892,9094.6151,8779.6502,8086.243,8004.6569,8067.4089,8172.1238,8257.8248,8350.6695,8451.2537
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35626.3684,33211.8376,29617.7986,25944.5515,22893.8103,20752.6466,18412.6856,17454.4899,17063.9461,16470.2994,15200.6275,14678.0535,14348.3766,14092.0892,13846.5938,13733.8081,13729.6013
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39797.9981,43402.6801,46611.6357,49697.6244,52250.6147,54420.9976,56167.8157,57148.418,58350.062,59603.9254,60927.8557,62195.1504,63472.8341,64888.5602,66139.0392,67339.599,68392.8758
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,32602.3811,26139.0584,17625.859,14969.3879,13217.4525,11559.5784,9532.5996,8218.0496,7427.4239,7037.6819,6246.1541,6025.4324,5929.4452,5852.1427,5750.4114,5636.1256,5513.0729
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,32602.3811,30762.6861,27595.4469,23924.294,20907.2984,18920.5066,16782.0969,14696.3394,13709.5496,13071.8837,11788.8702,11191.7336,10732.6132,10297.4781,9842.2107,9469.1342,9153.3051
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35038.5199,36766.9613,38136.6621,39406.2363,40249.98,40849.1468,41139.4065,41414.0085,41747.0596,41806.1667,41517.2391,41220.604,40904.3972,40469.5923,39971.9027,39501.9458,39032.1188
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35889.7743,35314.263,33976.0175,24604.6182,19305.4253,16483.0805,15868.7853,13701.4287,10979.346,9025.4581,9366.8591,9657.8007,10056.9158,10342.7894,9802.4758,9146.5013,7558.1659
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36051.7491,35778.2104,34518.12,35913.3052,37274.9495,38253.708,38918.4334,39562.9615,40950.2146,42472.8425,43648.6988,44830.3746,46225.3162,47717.9997,49293.7956,50737.1866,51572.0925
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35889.7743,35314.263,33976.0175,24370.1074,18778.4142,10001.6566,7005.1388,4392.9318,2480.0918,220.9056,217.2793,442.3867,509.5476,568.2751,355.3094,-55.4186,-711.4037
