Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4403.0858,4424.2747,4409.6514,4417.3491,4394.603,4330.0267,4252.5366,4199.2019,4154.9089,4130.0783,4111.6174,4079.5424,4046.8266,4008.4491,3959.3209,3901.6913,3817.0131
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1777,2805.993,1623.5517,1282.0066,991.6385,878.2137,733.282,615.0429,497.1819,432.8321,327.0505,303.9764,298.014,297.4117,295.8468,295.0804,296.2493
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1777,3563.2339,3084.0192,2686.3249,2270.004,2139.2206,2090.9243,2025.8728,1860.5339,1651.0077,1352.052,1244.1643,1173.499,1113.5453,1060.6885,1029.3257,1012.9958
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4725.2741,4807.4871,4827.8946,4856.2289,4836.5256,4771.4599,4684.7963,4584.9117,4542.7688,4522.5975,4493.6358,4446.208,4398.9378,4362.9977,4261.8529,4166.0834,4117.7029
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1777,2813.6723,1638.248,1293.3916,1007.0141,907.0087,803.2028,674.2341,561.8675,492.5852,387.6251,360.2745,355.2216,356.3653,357.9333,360.6046,365.8652
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1777,3578.8776,3124.8691,2728.907,2327.8125,2195.0106,2152.2256,2090.082,1934.6524,1736.2844,1439.1913,1324.3242,1253.4658,1199.0171,1151.8402,1124.7187,1112.8741
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4725.2741,4807.4871,4827.8946,4856.2289,4836.5256,4771.4599,4684.7963,4584.9117,4542.7688,4522.5975,4493.6358,4446.208,4398.9378,4362.9977,4261.8529,4166.0834,4117.7029
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4176.6845,2804.296,1623.3195,1281.2445,998.1349,900.476,788.7383,668.7766,553.9181,482.8662,375.3282,350.3771,345.832,347.4605,348.982,351.3449,355.8621
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4176.6845,3561.2433,3080.3847,2672.7372,2256.3702,2146.9428,2119.9216,2078.6573,1926.6707,1743.1329,1464.3055,1345.4239,1272.3272,1215.1663,1166.4039,1139.6529,1126.8544
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4724.8745,4806.8944,4827.0038,4854.7939,4834.0559,4766.7763,4677.6559,4574.8364,4529.6499,4506.1074,4473.6099,4422.7691,4372.6203,4337.0038,4235.586,4140.0603,4091.5185
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4133.834,2769.4279,1604.1281,1263.5124,974.782,860.7142,712.9738,593.301,473.3301,408.4064,296.1432,274.057,267.0286,264.2718,259.669,254.0337,249.1494
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4133.834,3506.4455,3026.3545,2631.5599,2225.768,2097.851,2045.7343,1975.6236,1809.641,1600.9489,1303.8813,1191.5183,1117.3638,1053.9543,995.4567,955.3576,927.4219
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4690.5842,4760.5228,4769.3926,4788.1336,4760.9762,4690.8343,4598.6058,4494.128,4447.7661,4420.1382,4383.1183,4328.3535,4270.6137,4220.252,4112.9487,4004.7381,3917.2213
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.8394,2809.2174,1627.0162,1282.3205,984.8074,860.836,696.5404,577.1418,462.0252,399.9411,282.9486,262.269,257.1954,256.457,255.2106,253.898,254.1746
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.8394,3566.038,3087.111,2681.5504,2247.7622,2114.311,2059.246,1987.5071,1830.4511,1615.3348,1313.3742,1201.5172,1128.1276,1067.1475,1013.5352,981.5963,965.402
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4725.1499,4807.1637,4827.2035,4854.8765,4833.9839,4766.6937,4677.0718,4576.1925,4533.0509,4512.0415,4481.9126,4432.9895,4384.1948,4348.252,4247.1575,4151.4627,4102.6778
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1762,2805.7824,1614.5446,1266.3319,970.3601,844.5803,674.4073,558.8098,440.9721,384.0998,270.7143,251.2767,245.6855,243.8216,241.3072,238.2269,237.3694
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4178.1762,3564.2446,3080.1543,2672.6242,2229.8409,2093.2882,2034.2025,1958.8428,1800.8956,1586.9085,1298.1042,1194.004,1125.3714,1069.7189,1019.8639,989.1266,972.9433
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4723.8824,4804.9053,4823.6756,4849.5727,4827.162,4758.7094,4668.9588,4567.1101,4522.8581,4500.5911,4469.3107,4419.519,4369.1471,4333.2861,4231.1584,4135.1092,4060.147
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4132.9813,2778.1394,1612.1353,1258.9037,976.6958,867.6121,760.5568,633.126,512.3147,446.5984,340.6032,315.0306,308.0886,306.1301,302.2836,298.4663,295.4726
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4132.9813,3527.7459,3081.9934,2673.4881,2264.803,2136.4991,2099.7438,2039.9819,1890.7681,1710.9805,1434.1636,1313.1234,1233.3895,1171.2532,1113.2067,1074.8,1051.983
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4688.6479,4756.9868,4763.5796,4778.6251,4746.7328,4668.8486,4568.5557,4457.6843,4405.1295,4371.3338,4327.7593,4267.1335,4202.7131,4154.1204,4050.9389,3940.8501,3850.1033
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,3842.0815,2621.982,1477.3754,1150.6402,888.1403,778.2949,682.503,562.6962,431.0688,365.7271,257.8192,229.3549,216.1438,205.3453,191.9414,177.221,162.7618
