Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15175.2837,12575.1895,9636.8835,5468.0617,3528.9531,1901.5585,273.949,-1666.4557,-2699.2224,-3663.5033,-4134.6055,-4219.0585,-4345.9436,-4450.6961,-4540.6441,-4617.7496,-4710.2741
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15177.3275,12587.1027,9675.4583,5520.8198,3444.2649,1576.2885,-383.4502,-2753.8354,-3970.7791,-4975.0348,-5335.3835,-5484.3132,-5654.6902,-5837.3218,-6037.9612,-6212.5331,-6407.1791
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15375.8851,13689.7155,13818.0697,13614.2721,12539.4061,10770.7825,8681.7056,6148.0452,3531.8922,1598.9542,1302.377,1212.0708,1130.0619,957.9916,734.3098,452.4253,139.4929
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15387.251,13707.3574,13856.3297,13701.5137,12704.3818,10999.0861,9042.2928,6881.8924,4653.9598,3007.5492,3053.0413,3199.8197,3283.9759,3273.5497,3193.2218,3032.1239,2806.7608
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15375.8851,14740.378,15311.6449,15981.7936,16384.6967,16570.3391,16550.0712,16068.0188,15192.6231,14077.397,12057.6542,9381.9786,6514.9232,4623.7332,2292.0868,1940.5422,1697.7097
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15387.251,14759.0639,15353.0891,16075.8221,16573.5832,16872.7602,16984.5113,16627.6692,15864.9857,14798.8256,12740.9274,9959.5001,7127.0664,5634.8494,3684.3829,3707.4515,3796.6428
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15419.0381,12952.7145,8499.7342,3788.6095,2362.8244,782.4586,-1342.6219,-3940.9702,-5211.1974,-6567.1499,-7286.3598,-7684.7676,-8020.4497,-8107.7939,-8068.5116,-7760.4411,-7536.9703
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15377.2627,12461.9134,7991.4751,3335.839,1905.9804,376.4563,-1598.0304,-3934.3121,-5114.2278,-6317.7645,-6797.0131,-6983.1724,-6956.7606,-6708.5678,-6302.127,-5510.9955,-4912.0674
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15419.0381,12777.0582,9890.1986,8527.441,6933.2952,5100.3587,2915.5477,372.8546,-1938.0758,-3911.2988,-5411.1163,-6664.0009,-7464.8507,-7813.3893,-8084.7795,-8185.2929,-8191.4382
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15377.2627,12285.4282,9312.3899,7924.8664,6248.9859,4164.5154,1688.8232,-858.1101,-3085.5957,-5434.1645,-6521.1653,-6902.2406,-7185.2323,-7321.7327,-7320.524,-7145.8231,-6877.5652
