Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3588.5453,1969.3665,1159.5987,316.9689,217.9371,615.4217,312.1126,257.7787,-511.8628,-1001.4955,-1106.4044,-1016.9966,-1224.9488,-1321.487,-1414.729,-1196.0558,-1135.7399
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5670.2492,5385.0154,4540.3364,3992.2245,3560.4442,3213.6717,2677.3231,2953.9176,2614.3093,2318.2819,2051.9375,1785.7554,1502.8429,1289.7504,1033.4621,787.9771,591.812
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3404.7811,1330.5801,95.2437,-1158.0521,-2172.7262,-2699.6042,-3286.0547,-3153.6512,-3193.8341,-3002.3171,-3006.2303,-2548.7021,-2220.3225,-2140.387,-2056.0185,-1788.2393,-1538.8673
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3404.7811,1853.8442,1070.0193,211.6559,-116.7637,361.0895,110.1346,-146.9242,-766.8609,-1154.8218,-1237.5034,-1168.5836,-1329.4331,-1357.8381,-1429.1541,-1219.6453,-1153.2631
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5940.3424,5634.7364,4768.2548,4190.8051,3759.9736,3402.7852,2869.9008,3162.6959,2827.2154,2531.0909,2266.9304,2021.3681,1725.3169,1475.3098,1285.27,995.786,793.2121
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3404.7811,1334.6397,93.7271,-1091.2229,-1975.6463,-2405.585,-3214.9562,-2951.3289,-2952.492,-2663.5338,-2734.8705,-2226.1755,-1863.3671,-1753.4249,-1645.4768,-1349.1952,-1080.4173
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3404.7811,1881.0541,1133.7631,334.7837,42.0076,696.8391,766.2948,201.6741,-481.1724,-957.2897,-1087.2317,-978.7352,-1126.7275,-1154.7746,-1233.4452,-1016.1739,-934.621
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5940.3424,5634.7364,4768.2548,4190.8051,3759.9736,3402.7852,2869.9008,3162.6959,2827.2154,2531.0909,2266.9304,2021.3681,1725.3169,1475.3098,1285.27,995.786,793.2121
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3402.8584,1331.2427,89.2293,-1077.6,-1964.9071,-2442.8519,-3229.4865,-3002.6346,-3024.6359,-2753.6692,-2814.1587,-2304.2372,-1939.8301,-1836.874,-1734.5576,-1444.897,-1172.6083
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3402.8584,1855.5466,1080.229,326.3298,145.4955,653.622,399.0774,87.0304,-505.9554,-905.006,-1120.8258,-1004.8192,-1134.5134,-1159.1715,-1233.3598,-1024.8729,-959.7844
