Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1753,30.3599,23.7795,18.7394,15.0863,15.5868,18.792,21.1334,21.0858,20.8975,20.0017,20.0717,20.3128,20.5797,20.8065,21.251,21.9004
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.118,48.5099,54.553,60.9537,67.099,73.0297,78.5948,79.8782,81.5553,83.4404,86.2176,89.4901,93.8132,99.4799,106.5688,112.9024,119.7462
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1753,21.6817,10.3729,7.8911,6.5569,8.5723,15.4662,12.7806,10.7325,9.5667,7.659,7.3809,7.6204,8.0288,8.4666,8.9731,9.5651
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1753,30.5025,24.7654,20.3742,17.4119,19.1553,25.1932,25.0743,24.951,24.7355,23.6788,23.6574,23.9377,24.347,24.7273,25.2867,25.6822
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.118,48.5099,54.553,60.9537,67.099,73.0297,78.5948,79.8782,81.5553,83.4404,86.2176,89.4901,93.8132,99.4799,106.5688,112.9024,119.7462
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1653,21.4025,9.8836,7.3253,5.8534,7.144,13.0074,11.5502,9.7423,8.6815,6.9351,6.7501,6.9998,7.395,7.8036,8.2728,8.8124
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1653,30.3479,23.7708,18.6731,15.0082,15.6105,18.8127,21.0745,21.0894,21.0654,20.5666,20.6689,21.0217,21.4172,21.8068,22.4072,23.1879
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.1171,48.5085,54.5502,60.9453,67.075,72.9567,78.4384,79.6332,81.2215,83.0182,85.6959,88.8623,93.0538,98.6576,105.625,111.8772,118.5992
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.7373,21.7092,10.0041,7.4333,5.8551,6.9674,12.1473,10.5615,8.5435,7.5269,5.5387,5.3386,5.4543,5.6752,5.8481,5.9975,6.1684
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.7373,30.9021,24.3268,19.2844,15.5053,15.9508,19.0142,21.1764,21.0603,20.8241,19.8711,19.8276,19.987,20.127,20.2034,20.4486,20.8328
